ID,NAME,SMILES,inchikey
YMDB00058,Adenosine,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=NC3=C2N=C([H])N=C3N([H])[H])[C@]([H])(O[H])[C@]1([H])O[H],OIRDTQYFTABQOQ-KQYNXXCUSA-N
YMDB00059,2-hydroxyglutaric acid,[H]OC(=O)C([H])([H])C([H])([H])C([H])(O[H])C(=O)O[H],HWXBTNAVRSUOJR-UHFFFAOYSA-N
YMDB00060,Citrulline,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)N([H])[H],RHGKLRLOHDJJDR-BYPYZUCNSA-N
YMDB00061,Ribose 1-phosphate,[H]OC([H])([H])[C@@]1([H])O[C@]([H])(OP(=O)(O[H])O[H])[C@]([H])(O[H])[C@]1([H])O[H],YXJDFQJKERBOBM-TXICZTDVSA-N
YMDB00062,Methanethiol,[H]SC([H])([H])[H],LSDPWZHWYPCBBB-UHFFFAOYSA-N
YMDB00063,"(R)-2,3-Dihydroxy-isovalerate",CC(C)(O)[C@@H](O)C(O)=O,JTEYKUFKXGDTEU-VKHMYHEASA-N
YMDB00064,CDP,[H]O[C@]1([H])[C@]([H])(O[H])[C@]([H])(O[C@@]1([H])N1C([H])=C([H])C(=NC1=O)N([H])[H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H],ZWIADYZPOWUWEW-XVFCMESISA-N
YMDB00065,5-Aminoimidazole ribonucleotide,[H]O[C@]1([H])[C@]([H])(O[H])[C@]([H])(O[C@@]1([H])N1C([H])=NC([H])=C1N([H])[H])C([H])([H])OP(=O)(O[H])O[H],PDACUKOKVHBVHJ-XVFCMESISA-N
YMDB00066,N-acetyl-L-glutamic acid,CC(=O)N[C@@H](CCC(O)=O)C(O)=O,RFMMMVDNIPUKGG-YFKPBYRVSA-N
YMDB00067,5-Phosphoribosylamine,[H]O[C@]1([H])[C@]([H])(O[H])[C@]([H])(O[C@@]1([H])N([H])[H])C([H])([H])OP(=O)(O[H])O[H],SKCBPEVYGOQGJN-TXICZTDVSA-N
YMDB00068,"(R)-2,3-Dihydroxy-3-methylvalerate",[H]OC(=O)[C@]([H])(O[H])[C@@](O[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],PDGXJDXVGMHUIR-UJURSFKZSA-N
YMDB00069,Palmitic acid,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],IPCSVZSSVZVIGE-UHFFFAOYSA-N
YMDB00070,Imidazole acetol-phosphate,[H]OP(=O)(O[H])OC([H])([H])C(=O)C([H])([H])C1=C([H])N([H])C([H])=N1,YCFFMSOLUMRAMD-UHFFFAOYSA-N
YMDB00071,2-Ketobutyric acid,[H]OC(=O)C(=O)C([H])([H])C([H])([H])[H],TYEYBOSBBBHJIV-UHFFFAOYSA-N
YMDB00072,D-Galactose,[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]1([H])O[H],WQZGKKKJIJFFOK-PHYPRBDBSA-N
YMDB00073,Glycerol 3-phosphate,[H]OC([H])([H])[C@@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H],AWUCVROLDVIAJX-GSVOUGTGSA-N
YMDB00074,Cyanide,[C-]#N,XFXPMWWXUTWYJX-UHFFFAOYSA-N
YMDB00075,Dethiobiotin,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])N([H])C(=O)N([H])[C@@]1([H])C([H])([H])[H],AUTOLBMXDDTRRT-JGVFFNPUSA-N
YMDB00076,DL-O-Phosphoserine,[H]OC(=O)C([H])(N([H])[H])C([H])([H])OP(=O)(O[H])O[H],BZQFBWGGLXLEPQ-UHFFFAOYSA-N
YMDB00077,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate,[H]OC(=O)C1=C(N([H])[H])N(C([H])=N1)[C@]1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@@]1([H])O[H],XFVULMDJZXYMSG-ZIYNGMLESA-N
YMDB00078,Fructose 6-phosphate,[H]OC([H])([H])C(=O)[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H],GSXOAOHZAIYLCY-HSUXUTPPSA-N
YMDB00079,Dihydrofolic acid,[H]OC(=O)C([H])([H])C([H])([H])[C@]([H])(N([H])C(=O)C1=C([H])C([H])=C(N([H])C([H])([H])C2=NC3=C(N=C(N([H])[H])N([H])C3=O)N([H])C2([H])[H])C([H])=C1[H])C(=O)O[H],OZRNSSUDZOLUSN-LBPRGKRZSA-N
YMDB00080,N10-Formyl-THF,[H]OC(=O)C([H])([H])C([H])([H])[C@]([H])(N([H])C(=O)C1=C([H])C([H])=C(C([H])=C1[H])N(C([H])=O)C([H])([H])C1([H])N([H])C2=C(N([H])C(=NC2=O)N([H])[H])N([H])C1([H])[H])C(=O)O[H],AUFGTPPARQZWDO-YUZLPWPTSA-N
YMDB00081,Tetrahydropteroyltri-L-glutamate,[H]OC(=O)C([H])([H])C([H])([H])[C@]([H])(N([H])C(=O)C([H])([H])C([H])([H])[C@]([H])(N([H])C(=O)C([H])([H])C([H])([H])[C@]([H])(N([H])C(=O)C1=C([H])C([H])=C(N([H])C([H])([H])[C@]2([H])N([H])C3=C(N([H])C(=NC3=O)N([H])[H])N([H])C2([H])[H])C([H])=C1[H])C(=O)O[H])C(=O)O[H])C(=O)O[H],RXWVHRYZTWZATH-XSLAGTTESA-N
YMDB00082,Carbamoylphosphate,[H]OP(=O)(O[H])OC(=O)N([H])[H],FFQKYPRQEYGKAF-UHFFFAOYSA-N
YMDB00083,5-Aminolevulinic acid,[H]OC(=O)C([H])([H])C([H])([H])C(=O)C([H])([H])N([H])[H],ZGXJTSGNIOSYLO-UHFFFAOYSA-N
YMDB00084,Coproporphyrinogen III,[H]OC(=O)C([H])([H])C([H])([H])C1=C2N([H])C(=C1C([H])([H])[H])C([H])([H])C1=C(C(=C(N1[H])C([H])([H])C1=C(C(=C(N1[H])C([H])([H])C1=C(C(=C(N1[H])C2([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C(=O)O[H])C([H])([H])[H])C([H])([H])C([H])([H])C(=O)O[H])C([H])([H])C([H])([H])C(=O)O[H])C([H])([H])[H],NIUVHXTXUXOFEB-UHFFFAOYSA-N
YMDB00085,Flavin Mononucleotide,[H]O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@@]([H])(O[H])C([H])([H])N1C2=NC(=O)N([H])C(=O)C2=NC2=C1C([H])=C(C(=C2[H])C([H])([H])[H])C([H])([H])[H],FVTCRASFADXXNN-SCRDCRAPSA-N
YMDB00086,Citric acid,[H]OC(=O)C([H])([H])C(O[H])(C(=O)O[H])C([H])([H])C(=O)O[H],KRKNYBCHXYNGOX-UHFFFAOYSA-N
YMDB00087,L-Iditol,[H]OC([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])([H])O[H],FBPFZTCFMRRESA-UNTFVMJOSA-N
YMDB00088,Ubiquinone Q1,[H]C(=C(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1=C(C(=O)C(OC([H])([H])[H])=C(OC([H])([H])[H])C1=O)C([H])([H])[H],SOECUQMRSRVZQQ-UHFFFAOYSA-N
