KEGG_id,color,width
C00187,#a8ddb5,W20
C02670,#a8ddb5,W20
C09332,#a8ddb5,W20
C00182,#a8ddb5,W20
C01284,#a8ddb5,W20
C04425,#a8ddb5,W20
C02353,#a8ddb5,W20
C06194,#a8ddb5,W20
C00125,#a8ddb5,W20
C00126,#a8ddb5,W20
C05271,#a8ddb5,W20
C02470,#a8ddb5,W20
C05200,#a8ddb5,W20
C00943,#a8ddb5,W20
C00575,#a8ddb5,W20
C00942,#a8ddb5,W20
C00979,#a8ddb5,W20
C13425,#a8ddb5,W20
C12292,#a8ddb5,W20
C00337,#a8ddb5,W20
C00568,#a8ddb5,W20
C00332,#a8ddb5,W20
C00229,#a8ddb5,W20
C00409,#a8ddb5,W20
C00362,#a8ddb5,W20
C00415,#a8ddb5,W20
C00705,#a8ddb5,W20
C01346,#a8ddb5,W20
C00314,#a8ddb5,W20
C00038,#a8ddb5,W20
C00320,#a8ddb5,W20
C04217,#a8ddb5,W20
C06032,#a8ddb5,W20
C05440,#a8ddb5,W20
C03492,#a8ddb5,W20
C00068,#a8ddb5,W20
C03722,#a8ddb5,W20
C00517,#a8ddb5,W20
C03221,#a8ddb5,W20
C00909,#a8ddb5,W20
C03082,#a8ddb5,W20
C00877,#a8ddb5,W20
C00076,#a8ddb5,W20
C00849,#a8ddb5,W20
C00120,#a8ddb5,W20
C15808,#a8ddb5,W20
C00091,#a8ddb5,W20
C00669,#a8ddb5,W20
C05278,#a8ddb5,W20
C00698,#a8ddb5,W20
C00424,#a8ddb5,W20
C05272,#a8ddb5,W20
C05198,#a8ddb5,W20
C00364,#a8ddb5,W20
C11511,#a8ddb5,W20
C05264,#a8ddb5,W20
C04691,#a8ddb5,W20
C05265,#a8ddb5,W20
C04640,#a8ddb5,W20
C00186,#a8ddb5,W20
C00418,#a8ddb5,W20
C00988,#a8ddb5,W20
C04281,#a8ddb5,W20
C01909,#a8ddb5,W20
C00162,#a8ddb5,W20
C01330,#a8ddb5,W20
C01192,#a8ddb5,W20
C00231,#a8ddb5,W20
C00209,#a8ddb5,W20
C00751,#a8ddb5,W20
C01879,#a8ddb5,W20
C02637,#a8ddb5,W20
C00286,#a8ddb5,W20
C00522,#a8ddb5,W20
C01103,#a8ddb5,W20
C05103,#a8ddb5,W20
C02050,#a8ddb5,W20
C00430,#a8ddb5,W20
C00104,#a8ddb5,W20
C00248,#a8ddb5,W20
C00224,#a8ddb5,W20
C02225,#a8ddb5,W20
C00103,#a8ddb5,W20
C00921,#a8ddb5,W20
C00356,#a8ddb5,W20
C00955,#a8ddb5,W20
C05269,#a8ddb5,W20
C01260,#a8ddb5,W20
C04677,#a8ddb5,W20
C03630,#a8ddb5,W20
C00052,#a8ddb5,W20
C01054,#a8ddb5,W20
C00493,#a8ddb5,W20
C00491,#a8ddb5,W20
C00386,#a8ddb5,W20
C03805,#a8ddb5,W20
C00460,#a8ddb5,W20
C03506,#a8ddb5,W20
C15816,#a8ddb5,W20
C00438,#a8ddb5,W20
C00267,#a8ddb5,W20
C02320,#a8ddb5,W20
C02430,#a8ddb5,W20
C00672,#a8ddb5,W20
C04327,#a8ddb5,W20
C00459,#a8ddb5,W20
C15670,#a8ddb5,W20
C00458,#a8ddb5,W20
C04248,#a8ddb5,W20
C00053,#a8ddb5,W20
C00464,#a8ddb5,W20
C00586,#a8ddb5,W20
C03044,#a8ddb5,W20
C00305,#a8ddb5,W20
C00070,#a8ddb5,W20
C00511,#a8ddb5,W20
C05275,#a8ddb5,W20
C05263,#a8ddb5,W20
C16218,#a8ddb5,W20
C16217,#a8ddb5,W20
C16216,#a8ddb5,W20
C00462,#a8ddb5,W20
C04895,#a8ddb5,W20
C00378,#a8ddb5,W20
C00081,#a8ddb5,W20
C00032,#a8ddb5,W20
C03838,#a8ddb5,W20
C04734,#a8ddb5,W20
C00579,#a8ddb5,W20
C00379,#a8ddb5,W20
C01152,#a8ddb5,W20
C00238,#a8ddb5,W20
C01636,#a8ddb5,W20
C00787,#a8ddb5,W20
C18319,#a8ddb5,W20
C01279,#a8ddb5,W20
C01888,#a8ddb5,W20
C00169,#a8ddb5,W20
C01267,#a8ddb5,W20
C01322,#a8ddb5,W20
C01262,#a8ddb5,W20
C19610,#a8ddb5,W20
C01246,#a8ddb5,W20
C00245,#a8ddb5,W20
C01230,#a8ddb5,W20
C01300,#a8ddb5,W20
C01209,#a8ddb5,W20
C00353,#a8ddb5,W20
C06576,#a8ddb5,W20
C00239,#a8ddb5,W20
C00864,#a8ddb5,W20
C00159,#a8ddb5,W20
C02163,#a8ddb5,W20
C00965,#a8ddb5,W20
C07216,#a8ddb5,W20
C01100,#a8ddb5,W20
C01081,#a8ddb5,W20
C06197,#a8ddb5,W20
C01079,#a8ddb5,W20
C00882,#a8ddb5,W20
C00818,#a8ddb5,W20
C01638,#a8ddb5,W20
C04002,#a8ddb5,W20
C01635,#a8ddb5,W20
C01637,#a8ddb5,W20
C00472,#a8ddb5,W20
C02282,#a8ddb5,W20
C16699,#a8ddb5,W20
C06758,#a8ddb5,W20
C06757,#a8ddb5,W20
C00244,#a8ddb5,W20
C01641,#a8ddb5,W20
C05634,#a8ddb5,W20
C06577,#a8ddb5,W20
C01643,#a8ddb5,W20
C01644,#a8ddb5,W20
C01645,#a8ddb5,W20
C00499,#a8ddb5,W20
C05635,#a8ddb5,W20
C03512,#a8ddb5,W20
C03511,#a8ddb5,W20
C00504,#a8ddb5,W20
C16237,#a8ddb5,W20
C00327,#a8ddb5,W20
C00461,#a8ddb5,W20
C04145,#a8ddb5,W20
C01126,#a8ddb5,W20
C05123,#a8ddb5,W20
C05122,#a8ddb5,W20
C00363,#a8ddb5,W20
C05108,#a8ddb5,W20
C01169,#a8ddb5,W20
C16241,#a8ddb5,W20
C00341,#a8ddb5,W20
C04752,#a8ddb5,W20
C04751,#a8ddb5,W20
C01051,#a8ddb5,W20
C01031,#a8ddb5,W20
C05267,#a8ddb5,W20
C04593,#a8ddb5,W20
C16240,#a8ddb5,W20
C12296,#a8ddb5,W20
C01304,#a8ddb5,W20
C01326,#a8ddb5,W20
C05276,#a8ddb5,W20
C15650,#a8ddb5,W20
C01344,#a8ddb5,W20
C01345,#a8ddb5,W20
C00449,#a8ddb5,W20
C07209,#a8ddb5,W20
C00236,#a8ddb5,W20
C01646,#a8ddb5,W20
C01647,#a8ddb5,W20
C00506,#a8ddb5,W20
C00636,#a8ddb5,W20
C15999,#a8ddb5,W20
C02946,#a8ddb5,W20
C02944,#a8ddb5,W20
C03461,#a8ddb5,W20
C02839,#a8ddb5,W20
C00860,#a8ddb5,W20
C00247,#a8ddb5,W20
C02702,#a8ddb5,W20
C02700,#a8ddb5,W20
C00606,#a8ddb5,W20
C01931,#a8ddb5,W20
C02554,#a8ddb5,W20
C02987,#a8ddb5,W20
C00088,#a8ddb5,W20
C00741,#a8ddb5,W20
C02505,#a8ddb5,W20
C17023,#a8ddb5,W20
C05985,#a8ddb5,W20
C02047,#a8ddb5,W20
C15780,#a8ddb5,W20
C06007,#a8ddb5,W20
C00254,#a8ddb5,W20
C02341,#a8ddb5,W20
C15556,#a8ddb5,W20
C02984,#a8ddb5,W20
C00544,#a8ddb5,W20
C02988,#a8ddb5,W20
C05241,#a8ddb5,W20
C03451,#a8ddb5,W20
C03406,#a8ddb5,W20
C03402,#a8ddb5,W20
C03373,#a8ddb5,W20
C01648,#a8ddb5,W20
C01649,#a8ddb5,W20
C01651,#a8ddb5,W20
C01652,#a8ddb5,W20
C01653,#a8ddb5,W20
C03127,#a8ddb5,W20
C20784,#a8ddb5,W20
C02992,#a8ddb5,W20
C05752,#a8ddb5,W20
C05280,#a8ddb5,W20
C11514,#a8ddb5,W20
C05746,#a8ddb5,W20
C05313,#a8ddb5,W20
C16236,#a8ddb5,W20
C12303,#a8ddb5,W20
C05745,#a8ddb5,W20
C05744,#a8ddb5,W20
C17432,#a8ddb5,W20
C06006,#a8ddb5,W20
C05751,#a8ddb5,W20
C05847,#a8ddb5,W20
C05803,#a8ddb5,W20
C15521,#a8ddb5,W20
C05802,#a8ddb5,W20
C15672,#a8ddb5,W20
C05402,#a8ddb5,W20
C18910,#a8ddb5,W20
C11555,#a8ddb5,W20
C05747,#a8ddb5,W20
C06316,#a8ddb5,W20
C05945,#a8ddb5,W20
C05750,#a8ddb5,W20
C05749,#a8ddb5,W20
C05860,#a8ddb5,W20
C05868,#a8ddb5,W20
C06501,#a8ddb5,W20
C05748,#a8ddb5,W20
C16239,#a8ddb5,W20
C05804,#a8ddb5,W20
C06369,#a8ddb5,W20
C16220,#a8ddb5,W20
C06325,#a8ddb5,W20
C20247,#a8ddb5,W20
C05778,#a8ddb5,W20
C20227,#a8ddb5,W20
C05938,#a8ddb5,W20
C11455,#a8ddb5,W20
C11822,#a8ddb5,W20
C15513,#a8ddb5,W20
