C00877	#a8ddb5	W20
C04640	#a8ddb5	W20
C05258	#a8ddb5	W20
C05265	#a8ddb5	W20
C05259	#a8ddb5	W20
C03492	#a8ddb5	W20
C00988	#a8ddb5	W20
C05261	#a8ddb5	W20
C00120	#a8ddb5	W20
C12292	#a8ddb5	W20
C00095	#a8ddb5	W20
C05437	#a8ddb5	W20
C02225	#a8ddb5	W20
C00511	#a8ddb5	W20
C05103	#a8ddb5	W20
C00546	#a8ddb5	W20
C01152	#a8ddb5	W20
C01262	#a8ddb5	W20
C00954	#a8ddb5	W20
C03479	#a8ddb5	W20
C06576	#a8ddb5	W20
C13425	#a8ddb5	W20
C01260	#a8ddb5	W20
C00672	#a8ddb5	W20
C01909	#a8ddb5	W20
C01879	#a8ddb5	W20
C05269	#a8ddb5	W20
C06197	#a8ddb5	W20
C13888	#a8ddb5	W20
C05273	#a8ddb5	W20
C14818	#a8ddb5	W20
C00522	#a8ddb5	W20
C00818	#a8ddb5	W20
C07216	#a8ddb5	W20
C00059	#a8ddb5	W20
C00586	#a8ddb5	W20
C05200	#a8ddb5	W20
C01103	#a8ddb5	W20
C02637	#a8ddb5	W20
C00493	#a8ddb5	W20
C00491	#a8ddb5	W20
C05263	#a8ddb5	W20
C04677	#a8ddb5	W20
C05634	#a8ddb5	W20
C00053	#a8ddb5	W20
C16529	#a8ddb5	W20
C02505	#a8ddb5	W20
C01888	#a8ddb5	W20
C03461	#a8ddb5	W20
C00438	#a8ddb5	W20
C04734	#a8ddb5	W20
C20784	#a8ddb5	W20
C00504	#a8ddb5	W20
C04248	#a8ddb5	W20
C00127	#a8ddb5	W20
C01326	#a8ddb5	W20
C05272	#a8ddb5	W20
C16699	#a8ddb5	W20
C06758	#a8ddb5	W20
C00979	#a8ddb5	W20
C00637	#a8ddb5	W20
C00472	#a8ddb5	W20
C15816	#a8ddb5	W20
C03044	#a8ddb5	W20
C03838	#a8ddb5	W20
C06577	#a8ddb5	W20
C05635	#a8ddb5	W20
C01267	#a8ddb5	W20
