Product name,Predicted reaction number,Predicted reaction Yeast-MetaTwin ID,Predicted reaction,Predicted genes of reaction
L-isoleucine,28,rxn2236,L-glutamic 5-semialdehyde + L-isoleucine => (S)-3-methyl-2-oxopentanoate + ornithine,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-isoleucine,29,rxn2518,3-methyl-2-oxobutanoate + L-isoleucine => (S)-3-methyl-2-oxopentanoate + L-valine,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-isoleucine,30,rxn2542,L-isoleucine + 3-oxopropanoate => (S)-3-methyl-2-oxopentanoate + beta-alanine,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-isoleucine,31,rxn2555,L-isoleucine + (S)-Methylmalonate semialdehyde => (S)-3-methyl-2-oxopentanoate + 3-aminoisobutyrate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-isoleucine,32,rxn3177,H2O + L-isoleucine + oxygen => (S)-3-methyl-2-oxopentanoate + ammonium + hydrogen peroxide,YBR035C or YFR033C
Isoamylol,1,rxn47,isoamylol + 3-hydroxybenzaldehyde => 3-methylbutanal + 3-hydroxybenzyl alcohol,YGR255C or YDL178W or YCL005W-A or YIR028W or YEL071W
Isoamylol,2,rxn1307,H+ + isoamylol + isobutyrate => H2O + isoamyl isobutyrate,YBR180W or YPR157W or YBR068C or YNL270C or YKR089C or YBR069C or YJR107W or YML059C or YDL210W or YMR298W or YGR263C or YAL049C or YHR189W or YHR163W or YLR020C or YOR348C or YBR219C or YCR073W-A or YNL268W or YEL063C or YJL145W or YBL042C or YOR081C or YCR068W or YGL144C or YMR008C or YPL274W or YMR210W or YBL057C or YOR126C or YMR006C or YFL055W or YHR213W or YCL005W-A or YDR058C or YDR508C or YNR034W or YDL109C or YOR097C or YNL323W or YLR208W or YNL242W or YBR132C or YBR294W or YBR204C or YBR164C or YLL052C or YBR296C or YKL094W or YLL061W or YGR248W or YNL012W or YDR367W or YNL142W or YLR092W or YDL219W or YLR380W or YOL020W or YPR027C or YGL258W or YBR058C-A or YOL011W or YCL025C or YEL057C or YHR075C or YPL265W or YLL012W or YMR313C or YJL212C or YBR021W or YDR046C or YGR191W or YLR118C or YKL140W or YIL029C or YFR020W
Isoamylol,3,rxn1308,H+ + isoamylol + phenylacetic acid => H2O + isoamyl phenylacetate,YBR180W or YPR157W or YBR068C or YNL270C or YKR089C or YBR069C or YJR107W or YML059C or YDL210W or YMR298W or YGR263C or YAL049C or YHR189W or YHR163W or YLR020C or YOR348C or YBR219C or YCR073W-A or YNL268W or YEL063C or YJL145W or YBL042C or YOR081C or YCR068W or YGL144C or YMR008C or YPL274W or YMR210W or YBL057C or YOR126C or YMR006C or YFL055W or YHR213W or YCL005W-A or YDR058C or YDR508C or YNR034W or YDL109C or YOR097C or YNL323W or YLR208W or YNL242W or YBR132C or YBR294W or YBR204C or YBR164C or YLL052C or YBR296C or YKL094W or YLL061W or YGR248W or YNL012W or YDR367W or YNL142W or YLR092W or YDL219W or YLR380W or YOL020W or YPR027C or YGL258W or YBR058C-A or YOL011W or YCL025C or YEL057C or YHR075C or YPL265W or YLL012W or YMR313C or YJL212C or YBR021W or YDR046C or YGR191W or YLR118C or YKL140W or YIL029C or YFR020W
Isoamylol,4,rxn1790,H+ + isoamylol + propionate => H2O + isoamyl propanoate,YBR180W or YPR157W or YBR068C or YNL270C or YKR089C or YBR069C or YJR107W or YML059C or YDL210W or YMR298W or YGR263C or YAL049C or YHR189W or YHR163W or YLR020C or YOR348C or YBR219C or YCR073W-A or YNL268W or YEL063C or YJL145W or YBL042C or YOR081C or YCR068W or YGL144C or YMR008C or YPL274W or YMR210W or YBL057C or YOR126C or YMR006C or YFL055W or YHR213W or YCL005W-A or YDR058C or YDR508C or YNR034W or YDL109C or YOR097C or YNL323W or YLR208W or YNL242W or YBR132C or YBR294W or YBR204C or YBR164C or YLL052C or YBR296C or YKL094W or YLL061W or YGR248W or YNL012W or YDR367W or YNL142W or YLR092W or YDL219W or YLR380W or YOL020W or YPR027C or YGL258W or YBR058C-A or YOL011W or YCL025C or YEL057C or YHR075C or YPL265W or YLL012W or YMR313C or YJL212C or YBR021W or YDR046C or YGR191W or YLR118C or YKL140W or YIL029C or YFR020W
L-lysine,1,rxn167,acetyl-CoA + L-lysine => coenzyme A + acetyllysine,YDR138W or YGL084C or YNL071W or YDR264C or YBR042C or YOL089C or YOR175C or YIL160C or YOR162C or YDL044C or YLR246W or YPL248C or YNR019W or YOR269W or YLR372W or YGL162W or YOR221C or YDR018C or YMR266W or YJL117W or YMR042W or YMR306W or YDR451C or YMR191W or YBL074C or YAR035W or YGR032W or YHR159W or YBR289W or YLL002W or YPL028W or YEL066W or YDR191W or YDR062W or YLR033W or YGR015C or YFL017C or YJL218W or YGR177C or YPR139C or YMR127C or YLR418C or YLR239C or YDR071C or YKR038C or YDR501W or YKR067W or YNR008W or YMR296C or YNR063W or YDR235W or YKR099W or YGR110W or YPL231W or YGR193C or YOR253W or YOR025W or YLR195C or YMR069W or YPR140W or YBR081C or YLR360W or YLR439W or YMR019W or YNL326C or YLR099C or YOL141W or YHR051W or YJL071W or YDR148C or YER024W or YBL052C or YLL031C or YJL206C or YDL073W or YMR062C or YCR034W or YOL068C or YML042W or YLR342W or YNL025C or YJR098C or YBR177C or YOR245C or YBR297W or YCR106W or YPL189W or YIL101C or YDL104C or YJL024C or YML002W or YCR048W or YHL003C or YJL196C or YDR303C or YER061C or YDR232W or YOL003C or YER184C or YPL001W or YPR018W or YCL016C or YDR391C or YOR244W or YGR252W or YPL095C or YDR126W or YOL084W or YMR125W or YDL042C or YKL182W or YJL176C or YPL134C or YKL008C or YHR013C or YNL084C or YAL044C or YOR034C or YDL052C or YNL277W or YGR084C or YPL015C or YPR193C or YCR072C or YOR172W or YDR459C or YGR246C or YBL011W or YOR377W
