smile,score,sim_smile,inchikey0
CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCCCCCCCCCCC,1,,OLOYCUZQMOZKED
CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,1,,KQMZYOXOBSXMII
CCCCCCCCCC(=O)OCC,1,,RGXWDWUGBIJHDO
CCCCCCC=O,1,,FXHGMKSSBGDXIY
O=C(O)C(CO)c1ccccc1,1,,JACRWUWPXAESPB
C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,1,,MEFKEPWMEQBLKI
CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O)C(O)C(O)CCCCCCCCCCCCCC,1,,ZAWCXEGDYSBAHF
CCCCCCCCCCCCCCCC(=O)O,1,,IPCSVZSSVZVIGE
CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCCCC,1,,WCPYEFQTGIENAG
Nc1ccn(C2CC(O)C(COP(=O)(O)O)O2)c(=O)n1,1,,NCMVOABPESMRCP
CCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCCCC=CCCCCCC)OC(=O)CCCCCCCCCC=CCCCCCC,1,,NDPHLKWOPGHRAM
C=C(CCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(O)CC1CC3)C(C)C,1,,SLQKYSPHBZMASJ
CCCCCCCCC=CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,1,,XEMIVMKTVGRFTD
CCCCOC(=O)C(C)C,1,,JSLCOZYBKYHZNL
CCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O)C(O)C(O)CCCCCCCCCCCCCC,1,,OBGQZGVSCDFIHI
CCCCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCC=CCCCCCC)OC(=O)CCCCCCCC=CCCCCCC,1,,HANRYHVSHGFYQD
CCCCCCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCC)COP(=O)(O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,1,,DOLLEVJSOUFCPQ
NC(CSSCC(N)C(=O)O)C(=O)O,1,,LEVWYRKDKASIDU
NC(=O)c1ncn(C2OC(COP(=O)(O)O)C(O)C2O)c1N=CNCC(=O)C(O)C(O)COP(=O)(O)O,1,,BLKFNHOCHNCLII
CC(N)C(=O)CCCCCC(=O)O,1,,GUAHPAJOXVYFON
CCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCNC)OC(=O)CCCCCCCCCCCCCCCCC,1,,XORWTSTVZYYOAL
CCCCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,1,,OXBHKMHNDGRDCZ
O=C(O)CCC(C(=O)O)C(O)C(=O)O,1,,OEJZZCGRGVFWHK
CSCCC(NC(C)=O)C(=O)[O-],1,,XUYPXLNMDZIRQH
CCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,1,,QIBZFHLFHCIUOT
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O,1,,NGFSMHKFTZROKJ
O=C(O)CC(C(=O)O)C(O)C(=O)O,1,,ODBLHEXUDAPZAU
CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCCC=CCCCCCCCC,1,,GXAHXPDRXNWFIX
NC(CCC(=O)NCCCC(=O)O)C(=O)O,1,,MKYPKZSGLSOGLL
