Name,Group,class,yeast8_reaction_lst,yeast8_reaction_num,yeast8U_reaction_lst,yeast8U_reaction_num
"2,3-Butanediol",native,alcohol,"['r_0003', 'r_1097']",2,"['r_0003', 'r_1097', 'rxn63154']",3
Isobutanol,native,alcohol,"['r_0161', 'r_1868', 'r_1869']",3,"['r_0161', 'r_1868', 'r_1869']",3
Isoamylol,native,alcohol,"['r_0160', 'r_1863', 'r_1864']",3,"['r_0160', 'r_1863', 'r_1864', 'rxn28518', 'rxn24257', 'rxn12767', 'rxn12771']",7
2-Phenylethanol,native,alcohol,"['r_0162', 'r_1590', 'r_1591']",3,"['r_0162', 'r_1590', 'r_1591', 'rxn28517', 'rxn15730', 'rxn15731', 'rxn46905', 'rxn9440', 'rxn259', 'rxn1130']",10
Glycerol,native,alcohol,"['r_0487', 'r_0488', 'r_1172', 'r_3597']",4,"['r_0487', 'r_0488', 'r_1172', 'r_3597', 'rxn18585', 'rxn32142', 'rxn1367', 'rxn1368', 'rxn1429', 'rxn1431', 'rxn1432', 'rxn1461', 'rxn1462', 'rxn1509', 'rxn1510', 'rxn1533', 'rxn1534', 'rxn1535', 'rxn1536', 'rxn1285', 'rxn1286', 'rxn1287', 'rxn1288', 'rxn1317', 'rxn1318', 'rxn1333', 'rxn1334', 'rxn1349', 'rxn1350']",29
(S)-Lactate,native,organic acid,"['r_0004', 'r_1206', 'r_4711']",3,"['r_0004', 'r_1206', 'r_4711']",3
Acetate,native,organic acid,"['r_0112', 'r_1106', 'r_1635', 'r_4397', 'r_4569', 'r_4602', 'r_4717']",7,"['r_0112', 'r_1106', 'r_1635', 'r_4397', 'r_4569', 'r_4602', 'r_4717']",7
Citrate,native,organic acid,"['r_0303', 'r_1112', 'r_1126', 'r_1127', 'r_1128', 'r_1686', 'r_1688', 'r_1689']",8,"['r_0303', 'r_1112', 'r_1126', 'r_1127', 'r_1128', 'r_1686', 'r_1688', 'r_1689', 'rxn26970']",9
Hexanoate,native,organic acid,"['r_2191', 'r_2230']",2,"['r_2191', 'r_2230', 'rxn28868', 'rxn14965', 'rxn62845', 'rxn62846', 'rxn62847', 'rxn62848', 'rxn62849', 'rxn5888']",10
Glycolate,native,organic acid,['r_4315'],1,"['r_4315', 'rxn28255', 'rxn24803', 'rxn32253', 'rxn17229', 'rxn17230', 'rxn17231', 'rxn17232', 'rxn17233', 'rxn10920', 'rxn615']",11
Fumarate,native,organic acid,"['r_0152', 'r_0207', 'r_0452', 'r_0453', 'r_0455', 'r_1000', 'r_1796']",7,"['r_0152', 'r_0207', 'r_0452', 'r_0453', 'r_0455', 'r_1000', 'r_1796', 'rxn25418', 'rxn34633', 'rxn11120', 'rxn3560']",11
(S)-Malate,native,organic acid,"['r_0452', 'r_0714', 'r_1126', 'r_1226', 'r_1652', 'r_1689', 'r_1901', 'r_1930', 'r_2132']",9,"['r_0452', 'r_0714', 'r_1126', 'r_1226', 'r_1652', 'r_1689', 'r_1901', 'r_1930', 'r_2132', 'rxn26967', 'rxn25119', 'rxn15405', 'rxn13343', 'rxn66172', 'rxn70249', 'rxn70251', 'rxn70253', 'rxn70256', 'rxn70257', 'rxn5134']",20
Pyruvate,native,organic acid,"['r_0958', 'r_0959', 'r_0960', 'r_1138', 'r_1254', 'r_2034', 'r_2112', 'r_2117', 'r_2119', 'r_4184', 'r_4226', 'r_4703', 'r_4716']",13,"['r_0958', 'r_0959', 'r_0960', 'r_1138', 'r_1254', 'r_2034', 'r_2112', 'r_2117', 'r_2119', 'r_4184', 'r_4226', 'r_4703', 'r_4716', 'rxn18460', 'rxn24944', 'rxn24949', 'rxn24950', 'rxn38497', 'rxn37198', 'rxn37199', 'rxn13343', 'rxn43258', 'rxn49029', 'rxn49031', 'rxn49032', 'rxn49033', 'rxn49464', 'rxn49471', 'rxn31997', 'rxn62315', 'rxn62317', 'rxn10174', 'rxn7058', 'rxn4724', 'rxn5137', 'rxn5784', 'rxn4255', 'rxn1900', 'rxn997']",39
